date,count
2022-06-21T00:00:00.000Z,1
2022-07-21T00:00:00.000Z,7
2022-08-21T00:00:00.000Z,9
2022-09-21T00:00:00.000Z,11
2022-10-21T00:00:00.000Z,15
2022-11-21T00:00:00.000Z,92
2022-12-21T00:00:00.000Z,114
2023-01-21T00:00:00.000Z,147
2023-02-21T00:00:00.000Z,246
2023-03-21T00:00:00.000Z,310
2023-04-21T00:00:00.000Z,398
2023-05-21T00:00:00.000Z,478
2023-06-21T00:00:00.000Z,673
2023-07-21T00:00:00.000Z,1453
2023-08-21T00:00:00.000Z,1908
2023-09-21T00:00:00.000Z,2699
2023-10-21T00:00:00.000Z,3665
2023-11-21T00:00:00.000Z,4255
2023-12-21T00:00:00.000Z,4887
2024-01-21T00:00:00.000Z,5250
2024-02-21T00:00:00.000Z,5650
2024-03-21T00:00:00.000Z,6017
