id,name,date,count,totalCount,onboardedCount,startingDate
1,Altre Pubbliche Amministrazioni locali,2023-03-16T00:00:00.000Z,23,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-03-26T00:00:00.000Z,27,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-04-05T00:00:00.000Z,28,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-04-15T00:00:00.000Z,28,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-04-25T00:00:00.000Z,29,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-05-05T00:00:00.000Z,29,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-05-15T00:00:00.000Z,30,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-05-25T00:00:00.000Z,31,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-06-04T00:00:00.000Z,32,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-06-14T00:00:00.000Z,33,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-06-24T00:00:00.000Z,37,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-07-04T00:00:00.000Z,41,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-07-14T00:00:00.000Z,44,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-07-24T00:00:00.000Z,45,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-08-03T00:00:00.000Z,46,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-08-13T00:00:00.000Z,51,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-08-23T00:00:00.000Z,51,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-09-02T00:00:00.000Z,52,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-09-12T00:00:00.000Z,54,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-09-22T00:00:00.000Z,57,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-10-02T00:00:00.000Z,61,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-10-12T00:00:00.000Z,67,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-10-22T00:00:00.000Z,69,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-11-01T00:00:00.000Z,71,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-11-11T00:00:00.000Z,71,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-11-21T00:00:00.000Z,73,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-01T00:00:00.000Z,77,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-11T00:00:00.000Z,77,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-21T00:00:00.000Z,78,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-31T00:00:00.000Z,81,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-01-10T00:00:00.000Z,90,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-01-20T00:00:00.000Z,95,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-01-30T00:00:00.000Z,96,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-02-09T00:00:00.000Z,98,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-02-19T00:00:00.000Z,98,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-02-29T00:00:00.000Z,98,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-03-10T00:00:00.000Z,100,4201,102,2023-03-20T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-03-20T00:00:00.000Z,102,4201,102,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-03-16T00:00:00.000Z,2,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-03-26T00:00:00.000Z,2,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-04-05T00:00:00.000Z,3,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-04-15T00:00:00.000Z,3,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-04-25T00:00:00.000Z,4,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-05-05T00:00:00.000Z,4,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-05-15T00:00:00.000Z,4,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-05-25T00:00:00.000Z,4,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-06-04T00:00:00.000Z,4,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-06-14T00:00:00.000Z,4,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-06-24T00:00:00.000Z,4,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-07-04T00:00:00.000Z,4,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-07-14T00:00:00.000Z,4,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-07-24T00:00:00.000Z,6,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-08-03T00:00:00.000Z,6,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-08-13T00:00:00.000Z,8,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-08-23T00:00:00.000Z,8,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-09-02T00:00:00.000Z,10,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-09-12T00:00:00.000Z,10,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-09-22T00:00:00.000Z,11,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-02T00:00:00.000Z,11,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-12T00:00:00.000Z,11,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-22T00:00:00.000Z,13,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-01T00:00:00.000Z,17,245,23,2023-03-20T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-11T00:00:00.000Z,17,245,23,2023-03-20T00:00:00.000Z
