producerName,id,name,subscribersCount
PagoPa S.p.A.,1,Altre Pubbliche Amministrazioni locali,3
PagoPa S.p.A.,2,Aziende Ospedaliere e ASL,1
PagoPa S.p.A.,3,Comuni,2873
PagoPa S.p.A.,12,Stazioni Appaltanti e Gestori di pubblici servizi,6
Agenzia per L'Italia Digitale,1,Altre Pubbliche Amministrazioni locali,12
Agenzia per L'Italia Digitale,2,Aziende Ospedaliere e ASL,7
Agenzia per L'Italia Digitale,3,Comuni,128
Agenzia per L'Italia Digitale,4,Province e Città Metropolitane,8
Agenzia per L'Italia Digitale,5,Pubbliche Amministrazioni Centrali,8
Agenzia per L'Italia Digitale,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2
Agenzia per L'Italia Digitale,7,Regioni e Province Autonome,13
Agenzia per L'Italia Digitale,12,Stazioni Appaltanti e Gestori di pubblici servizi,6
Ministero dell'Interno,1,Altre Pubbliche Amministrazioni locali,3
Ministero dell'Interno,2,Aziende Ospedaliere e ASL,1
Ministero dell'Interno,3,Comuni,96
Ministero dell'Interno,4,Province e Città Metropolitane,1
Ministero dell'Interno,5,Pubbliche Amministrazioni Centrali,1
Ministero dell'Interno,6,Enti Nazionali di Previdenza ed Assistenza Sociale,1
Ministero dell'Interno,7,Regioni e Province Autonome,3
Ministero dell'Interno,9,Scuole,1
Ministero dell'Interno,10,Università e AFAM,1
Ministero dell'Interno,12,Stazioni Appaltanti e Gestori di pubblici servizi,1
Autorita' Nazionale Anticorruzione - A.N.AC.,1,Altre Pubbliche Amministrazioni locali,5
Autorita' Nazionale Anticorruzione - A.N.AC.,2,Aziende Ospedaliere e ASL,1
Autorita' Nazionale Anticorruzione - A.N.AC.,3,Comuni,12
Autorita' Nazionale Anticorruzione - A.N.AC.,4,Province e Città Metropolitane,2
Autorita' Nazionale Anticorruzione - A.N.AC.,5,Pubbliche Amministrazioni Centrali,2
Autorita' Nazionale Anticorruzione - A.N.AC.,7,Regioni e Province Autonome,4
Autorita' Nazionale Anticorruzione - A.N.AC.,9,Scuole,3
Autorita' Nazionale Anticorruzione - A.N.AC.,12,Stazioni Appaltanti e Gestori di pubblici servizi,7
Agenzia delle Entrate,1,Altre Pubbliche Amministrazioni locali,1
Agenzia delle Entrate,5,Pubbliche Amministrazioni Centrali,1
Agenzia delle Entrate,7,Regioni e Province Autonome,2
Istituto Nazionale Previdenza Sociale - INPS,3,Comuni,2
Istituto Nazionale Previdenza Sociale - INPS,10,Università e AFAM,1
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1,Altre Pubbliche Amministrazioni locali,2
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",7,Regioni e Province Autonome,1
GEROPA SRL,3,Comuni,1
GEROPA SRL,12,Stazioni Appaltanti e Gestori di pubblici servizi,1
Ministero del Lavoro e delle Politiche Sociali,1,Altre Pubbliche Amministrazioni locali,1
Ministero del Lavoro e delle Politiche Sociali,7,Regioni e Province Autonome,1
Comune di Poggibonsi,3,Comuni,2
